,id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
93,world/2020/nov/08/global-coronavirus-cases-pass-50m-with-us-worst-affected-country,article,world,World news,2020-11-08T18:05:55Z,Global coronavirus cases pass 50m with US worst affected country,https://www.theguardian.com/world/2020/nov/08/global-coronavirus-cases-pass-50m-with-us-worst-affected-country,https://content.guardianapis.com/world/2020/nov/08/global-coronavirus-cases-pass-50m-with-us-worst-affected-country,False,pillar/news,News
94,uk-news/2020/nov/08/uks-coronavirus-vaccine-taskforce-chief-faces-questions-over-biotech-fund,article,world,World news,2020-11-08T08:30:34Z,UK's coronavirus vaccine taskforce chief faces questions over biotech fund,https://www.theguardian.com/uk-news/2020/nov/08/uks-coronavirus-vaccine-taskforce-chief-faces-questions-over-biotech-fund,https://content.guardianapis.com/uk-news/2020/nov/08/uks-coronavirus-vaccine-taskforce-chief-faces-questions-over-biotech-fund,False,pillar/news,News
95,film/2020/aug/21/coronation-review-ai-weiwei-harrowing-coronavirus-documentary,article,film,Film,2020-08-21T14:20:31Z,Coronation review – Ai Weiwei's harrowing coronavirus documentary,https://www.theguardian.com/film/2020/aug/21/coronation-review-ai-weiwei-harrowing-coronavirus-documentary,https://content.guardianapis.com/film/2020/aug/21/coronation-review-ai-weiwei-harrowing-coronavirus-documentary,False,pillar/arts,Arts
96,world/2020/sep/16/global-report-indias-coronavirus-cases-pass-5-million,article,world,World news,2020-09-16T05:11:18Z,Global report: India's coronavirus cases pass 5 million,https://www.theguardian.com/world/2020/sep/16/global-report-indias-coronavirus-cases-pass-5-million,https://content.guardianapis.com/world/2020/sep/16/global-report-indias-coronavirus-cases-pass-5-million,False,pillar/news,News
97,world/2020/nov/06/mink-and-coronavirus-whats-happened-and-should-we-be-worried,article,world,World news,2020-11-06T17:57:43Z,Mink and coronavirus: what's happened and should we be worried?,https://www.theguardian.com/world/2020/nov/06/mink-and-coronavirus-whats-happened-and-should-we-be-worried,https://content.guardianapis.com/world/2020/nov/06/mink-and-coronavirus-whats-happened-and-should-we-be-worried,False,pillar/news,News
98,us-news/2020/oct/06/stephen-miller-covid-19-diagnosis,article,us-news,US news,2020-10-07T01:01:15Z,Top Trump adviser Stephen Miller tests positive for coronavirus,https://www.theguardian.com/us-news/2020/oct/06/stephen-miller-covid-19-diagnosis,https://content.guardianapis.com/us-news/2020/oct/06/stephen-miller-covid-19-diagnosis,False,pillar/news,News
99,politics/2020/oct/10/johnson-and-macron-hold-talks-on-coronavirus-and-brexit,article,politics,Politics,2020-10-10T16:10:56Z,Johnson and Macron hold talks on coronavirus and Brexit,https://www.theguardian.com/politics/2020/oct/10/johnson-and-macron-hold-talks-on-coronavirus-and-brexit,https://content.guardianapis.com/politics/2020/oct/10/johnson-and-macron-hold-talks-on-coronavirus-and-brexit,False,pillar/news,News
100,world/2020/oct/31/hugs-sequins-and-rainbows-as-taiwan-enjoys-victory-over-virus,article,world,World news,2020-10-31T17:27:17Z,"Hugs, sequins and rainbows as Taiwan enjoys victory over coronavirus",https://www.theguardian.com/world/2020/oct/31/hugs-sequins-and-rainbows-as-taiwan-enjoys-victory-over-virus,https://content.guardianapis.com/world/2020/oct/31/hugs-sequins-and-rainbows-as-taiwan-enjoys-victory-over-virus,False,pillar/news,News
101,australia-news/2020/oct/06/chadstone-butcher-coronavirus-cluster-what-we-know-so-far,article,australia-news,Australia news,2020-10-06T07:26:21Z,Chadstone butcher coronavirus cluster: what we know so far,https://www.theguardian.com/australia-news/2020/oct/06/chadstone-butcher-coronavirus-cluster-what-we-know-so-far,https://content.guardianapis.com/australia-news/2020/oct/06/chadstone-butcher-coronavirus-cluster-what-we-know-so-far,False,pillar/news,News
102,money/2020/sep/15/energy-bills-could-increase-this-winter-to-cover-coronavirus-defaults,article,money,Money,2020-09-15T15:55:40Z,Energy bills could increase to cover coronavirus defaults,https://www.theguardian.com/money/2020/sep/15/energy-bills-could-increase-this-winter-to-cover-coronavirus-defaults,https://content.guardianapis.com/money/2020/sep/15/energy-bills-could-increase-this-winter-to-cover-coronavirus-defaults,False,pillar/lifestyle,Lifestyle
